OBJECTID;Date;Latitude;Longitude;Oceans;Regions;SubRegions;Microplastics Measurement (density);Unit;Density Class Range;Concentration Class;Sampling Method;Short Reference;Long Reference;DOI;Organization;Keywords;NCEI Accession Number;NCEI Accession Link;x;y
6191;4/12/2001;0.0700;-89.7900;Pacific Ocean;;;0.000000;pieces/m3;0-0.0005;Very Low;Neuston net;Law et al.2014;Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.;https://doi.org/10.1021/es4053076;Sea Education Association;SEA;211008;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008;-89,79;0,07
6192;5/12/2001;-0.5100;-90.0800;Pacific Ocean;;;0.000000;pieces/m3;0-0.0005;Very Low;Neuston net;Law et al.2014;Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.;https://doi.org/10.1021/es4053076;Sea Education Association;SEA;211008;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008;-90,08;-0,51
6193;8/12/2001;-0.8700;-90.2600;Pacific Ocean;;;0.000000;pieces/m3;0-0.0005;Very Low;Neuston net;Law et al.2014;Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.;https://doi.org/10.1021/es4053076;Sea Education Association;SEA;211008;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008;-90,26;-0,87
6194;9/12/2001;-1.2100;-90.4300;Pacific Ocean;;;0.000000;pieces/m3;0-0.0005;Very Low;Neuston net;Law et al.2014;Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.;https://doi.org/10.1021/es4053076;Sea Education Association;SEA;211008;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008;-90,43;-1,21
6195;9/12/2001;-1.0700;-90.8400;Pacific Ocean;;;0.000000;pieces/m3;0-0.0005;Very Low;Neuston net;Law et al.2014;Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.;https://doi.org/10.1021/es4053076;Sea Education Association;SEA;211008;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008;-90,84;-1,07
6196;10/12/2001;-1.1300;-91.9600;Pacific Ocean;;;0.000000;pieces/m3;0-0.0005;Very Low;Neuston net;Law et al.2014;Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.;https://doi.org/10.1021/es4053076;Sea Education Association;SEA;211008;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008;-91,96;-1,13
8982;24/11/2014;-0.7485;-90.3131;Pacific Ocean;;;0.001000;pieces/m3;0.0005-0.005;Low;Grab sample;Barrows et al.2018;Barrows, A.P.W., S.E. Cathey, C.W. Petersen. 2018. Marine environment microfiber contamination: global patterns and the diversity of microparticle origins. Environ. Pollut. 237, 275?284;https://doi.org/10.1016/j.envpol.2018.02.062;Adventure Scientist;Adventure Scientist/Citizen Science;211009;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211009;-90,313;-0,748
9371;6/2/2015;0.2891;-90.5589;Pacific Ocean;;;0.003000;pieces/m3;0.0005-0.005;Low;Grab sample;Barrows et al.2018;Barrows, A.P.W., S.E. Cathey, C.W. Petersen. 2018. Marine environment microfiber contamination: global patterns and the diversity of microparticle origins. Environ. Pollut. 237, 275?284;https://doi.org/10.1016/j.envpol.2018.02.062;Adventure Scientist;Adventure Scientist/Citizen Science;211009;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211009;-90,559;0,289
9373;7/2/2015;0.3140;-89.9471;Pacific Ocean;;;0.002000;pieces/m3;0.0005-0.005;Low;Grab sample;Barrows et al.2018;Barrows, A.P.W., S.E. Cathey, C.W. Petersen. 2018. Marine environment microfiber contamination: global patterns and the diversity of microparticle origins. Environ. Pollut. 237, 275?284;https://doi.org/10.1016/j.envpol.2018.02.062;Adventure Scientist;Adventure Scientist/Citizen Science;211009;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211009;-89,947;0,314
9806;25/4/2016;-0.5700;-90.5700;Pacific Ocean;;;0.003000;pieces/m3;0.0005-0.005;Low;Grab sample;Barrows et al.2018;Barrows, A.P.W., S.E. Cathey, C.W. Petersen. 2018. Marine environment microfiber contamination: global patterns and the diversity of microparticle origins. Environ. Pollut. 237, 275?284;https://doi.org/10.1016/j.envpol.2018.02.062;Adventure Scientist;Adventure Scientist/Citizen Science;211009;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211009;-90,57;-0,57
9828;30/6/2016;-0.8980;-89.6147;Pacific Ocean;;;0.001000;pieces/m3;0.0005-0.005;Low;Grab sample;Barrows et al.2018;Barrows, A.P.W., S.E. Cathey, C.W. Petersen. 2018. Marine environment microfiber contamination: global patterns and the diversity of microparticle origins. Environ. Pollut. 237, 275?284;https://doi.org/10.1016/j.envpol.2018.02.062;Adventure Scientist;Adventure Scientist/Citizen Science;211009;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211009;-89,615;-0,898
12184;11/10/2017;-1.5000;-89.0000;Pacific Ocean;;;0.780000;pieces/m3;0.005-1;Medium;Plankton net;Alfaro-Núñez et al.2021;Alfaro-Núñez, A., D. Astorga, L. Cáceres-Farías, L. Bastidas, C. S. Villegas, K. C. Macay, J. H. Christensen. 2021. Microplastic pollution in seawater and marine organisms across the Tropical Eastern Pacific and Galápagos. Scientific Report 11, 6424. https://doi.org/10.1038/s41598-021-85939-3;https://doi.org/10.1038/s41598-021-85939-3;University of Copenhagen, Denmark;RV Orion;276018;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276018;-89;-1,5
12185;11/10/2017;-1.0000;-89.0000;Pacific Ocean;;;0.420000;pieces/m3;0.005-1;Medium;Plankton net;Alfaro-Núñez et al.2021;Alfaro-Núñez, A., D. Astorga, L. Cáceres-Farías, L. Bastidas, C. S. Villegas, K. C. Macay, J. H. Christensen. 2021. Microplastic pollution in seawater and marine organisms across the Tropical Eastern Pacific and Galápagos. Scientific Report 11, 6424. https://doi.org/10.1038/s41598-021-85939-3;https://doi.org/10.1038/s41598-021-85939-3;University of Copenhagen, Denmark;RV Orion;276018;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276018;-89;-1
12186;12/10/2017;-0.9000;-90.2500;Pacific Ocean;;;0.190000;pieces/m3;0.005-1;Medium;Plankton net;Alfaro-Núñez et al.2021;Alfaro-Núñez, A., D. Astorga, L. Cáceres-Farías, L. Bastidas, C. S. Villegas, K. C. Macay, J. H. Christensen. 2021. Microplastic pollution in seawater and marine organisms across the Tropical Eastern Pacific and Galápagos. Scientific Report 11, 6424. https://doi.org/10.1038/s41598-021-85939-3;https://doi.org/10.1038/s41598-021-85939-3;University of Copenhagen, Denmark;RV Orion;276018;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276018;-90,25;-0,9
12187;15/10/2017;-0.7100;-90.6500;Pacific Ocean;;;0.470000;pieces/m3;0.005-1;Medium;Plankton net;Alfaro-Núñez et al.2021;Alfaro-Núñez, A., D. Astorga, L. Cáceres-Farías, L. Bastidas, C. S. Villegas, K. C. Macay, J. H. Christensen. 2021. Microplastic pollution in seawater and marine organisms across the Tropical Eastern Pacific and Galápagos. Scientific Report 11, 6424. https://doi.org/10.1038/s41598-021-85939-3;https://doi.org/10.1038/s41598-021-85939-3;University of Copenhagen, Denmark;RV Orion;276018;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276018;-90,65;-0,71
12188;16/10/2017;-1.3000;-91.0000;Pacific Ocean;;;0.420000;pieces/m3;0.005-1;Medium;Plankton net;Alfaro-Núñez et al.2021;Alfaro-Núñez, A., D. Astorga, L. Cáceres-Farías, L. Bastidas, C. S. Villegas, K. C. Macay, J. H. Christensen. 2021. Microplastic pollution in seawater and marine organisms across the Tropical Eastern Pacific and Galápagos. Scientific Report 11, 6424. https://doi.org/10.1038/s41598-021-85939-3;https://doi.org/10.1038/s41598-021-85939-3;University of Copenhagen, Denmark;RV Orion;276018;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276018;-91;-1,3
12190;18/10/2017;-1.5000;-92.0000;Pacific Ocean;;;0.420000;pieces/m3;0.005-1;Medium;Plankton net;Alfaro-Núñez et al.2021;Alfaro-Núñez, A., D. Astorga, L. Cáceres-Farías, L. Bastidas, C. S. Villegas, K. C. Macay, J. H. Christensen. 2021. Microplastic pollution in seawater and marine organisms across the Tropical Eastern Pacific and Galápagos. Scientific Report 11, 6424. https://doi.org/10.1038/s41598-021-85939-3;https://doi.org/10.1038/s41598-021-85939-3;University of Copenhagen, Denmark;RV Orion;276018;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276018;-92;-1,5
12191;18/10/2017;-1.0000;-92.0000;Pacific Ocean;;;0.540000;pieces/m3;0.005-1;Medium;Plankton net;Alfaro-Núñez et al.2021;Alfaro-Núñez, A., D. Astorga, L. Cáceres-Farías, L. Bastidas, C. S. Villegas, K. C. Macay, J. H. Christensen. 2021. Microplastic pollution in seawater and marine organisms across the Tropical Eastern Pacific and Galápagos. Scientific Report 11, 6424. https://doi.org/10.1038/s41598-021-85939-3;https://doi.org/10.1038/s41598-021-85939-3;University of Copenhagen, Denmark;RV Orion;276018;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276018;-92;-1
12192;19/10/2017;-0.5000;-92.0000;Pacific Ocean;;;0.490000;pieces/m3;0.005-1;Medium;Plankton net;Alfaro-Núñez et al.2021;Alfaro-Núñez, A., D. Astorga, L. Cáceres-Farías, L. Bastidas, C. S. Villegas, K. C. Macay, J. H. Christensen. 2021. Microplastic pollution in seawater and marine organisms across the Tropical Eastern Pacific and Galápagos. Scientific Report 11, 6424. https://doi.org/10.1038/s41598-021-85939-3;https://doi.org/10.1038/s41598-021-85939-3;University of Copenhagen, Denmark;RV Orion;276018;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276018;-92;-0,5
12193;19/10/2017;0.0000;-92.0000;Pacific Ocean;;;0.220000;pieces/m3;0.005-1;Medium;Plankton net;Alfaro-Núñez et al.2021;Alfaro-Núñez, A., D. Astorga, L. Cáceres-Farías, L. Bastidas, C. S. Villegas, K. C. Macay, J. H. Christensen. 2021. Microplastic pollution in seawater and marine organisms across the Tropical Eastern Pacific and Galápagos. Scientific Report 11, 6424. https://doi.org/10.1038/s41598-021-85939-3;https://doi.org/10.1038/s41598-021-85939-3;University of Copenhagen, Denmark;RV Orion;276018;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276018;-92;0
