OBJECTID;Date;Latitude;Longitude;Oceans;Regions;Location;Microplastics Measurement (density);Unit;Density Class Range;Concentration Class;Sampling Method;Short Reference;Long Reference;DOI;Organization;Keywords;NCEI Accession Number;NCEI Accession Link
10262;26/07/2012;-165.766;1.457.434;Pacific Ocean;Coral Sea;Great Barrier Reef;0.023068;pieces/m3;0.005-1;Medium;Manta net;Reisser et al.2013;Reisser, J., J. Shaw, C. Wilcox, B.D. Hardesty, M. Proietti, M. Thums, et al. 2013. Marine Plastic Pollution in Waters around Australia: Characteristics, Concentrations, and Pathways. PLoS ONE 8(11): e80466. ;https://doi.org/10.1371/journal.pone.0080466;University of Western Australia;RV Southern Surveyor/RV Solander;252260;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0252260
10263;26/07/2012;-165.617;1.457.530;Pacific Ocean;Coral Sea;Great Barrier Reef;0.063437;pieces/m3;0.005-1;Medium;Manta net;Reisser et al.2013;Reisser, J., J. Shaw, C. Wilcox, B.D. Hardesty, M. Proietti, M. Thums, et al. 2013. Marine Plastic Pollution in Waters around Australia: Characteristics, Concentrations, and Pathways. PLoS ONE 8(11): e80466. ;https://doi.org/10.1371/journal.pone.0080466;University of Western Australia;RV Southern Surveyor/RV Solander;252260;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0252260
10264;26/07/2012;-165.429;1.457.642;Pacific Ocean;Coral Sea;Great Barrier Reef;0.046136;pieces/m3;0.005-1;Medium;Manta net;Reisser et al.2013;Reisser, J., J. Shaw, C. Wilcox, B.D. Hardesty, M. Proietti, M. Thums, et al. 2013. Marine Plastic Pollution in Waters around Australia: Characteristics, Concentrations, and Pathways. PLoS ONE 8(11): e80466. ;https://doi.org/10.1371/journal.pone.0080466;University of Western Australia;RV Southern Surveyor/RV Solander;252260;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0252260
10265;27/07/2012;-150.275;1.453.907;Pacific Ocean;Coral Sea;Great Barrier Reef;0.027107;pieces/m3;0.005-1;Medium;Manta net;Reisser et al.2013;Reisser, J., J. Shaw, C. Wilcox, B.D. Hardesty, M. Proietti, M. Thums, et al. 2013. Marine Plastic Pollution in Waters around Australia: Characteristics, Concentrations, and Pathways. PLoS ONE 8(11): e80466. ;https://doi.org/10.1371/journal.pone.0080466;University of Western Australia;RV Southern Surveyor/RV Solander;252260;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0252260
10266;27/07/2012;-150.086;1.453.855;Pacific Ocean;Coral Sea;Great Barrier Reef;0.060851;pieces/m3;0.005-1;Medium;Manta net;Reisser et al.2013;Reisser, J., J. Shaw, C. Wilcox, B.D. Hardesty, M. Proietti, M. Thums, et al. 2013. Marine Plastic Pollution in Waters around Australia: Characteristics, Concentrations, and Pathways. PLoS ONE 8(11): e80466. ;https://doi.org/10.1371/journal.pone.0080466;University of Western Australia;RV Southern Surveyor/RV Solander;252260;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0252260
10267;27/07/2012;-149.883;1.453.802;Pacific Ocean;Coral Sea;Great Barrier Reef;0.159039;pieces/m3;0.005-1;Medium;Manta net;Reisser et al.2013;Reisser, J., J. Shaw, C. Wilcox, B.D. Hardesty, M. Proietti, M. Thums, et al. 2013. Marine Plastic Pollution in Waters around Australia: Characteristics, Concentrations, and Pathways. PLoS ONE 8(11): e80466. ;https://doi.org/10.1371/journal.pone.0080466;University of Western Australia;RV Southern Surveyor/RV Solander;252260;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0252260
10268;27/07/2012;-136.551;1.440.878;Pacific Ocean;Coral Sea;Great Barrier Reef;0.028222;pieces/m3;0.005-1;Medium;Manta net;Reisser et al.2013;Reisser, J., J. Shaw, C. Wilcox, B.D. Hardesty, M. Proietti, M. Thums, et al. 2013. Marine Plastic Pollution in Waters around Australia: Characteristics, Concentrations, and Pathways. PLoS ONE 8(11): e80466. ;https://doi.org/10.1371/journal.pone.0080466;University of Western Australia;RV Southern Surveyor/RV Solander;252260;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0252260
10269;27/07/2012;-136.396;1.440.770;Pacific Ocean;Coral Sea;Great Barrier Reef;0.011252;pieces/m3;0.005-1;Medium;Manta net;Reisser et al.2013;Reisser, J., J. Shaw, C. Wilcox, B.D. Hardesty, M. Proietti, M. Thums, et al. 2013. Marine Plastic Pollution in Waters around Australia: Characteristics, Concentrations, and Pathways. PLoS ONE 8(11): e80466. ;https://doi.org/10.1371/journal.pone.0080466;University of Western Australia;RV Southern Surveyor/RV Solander;252260;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0252260
10270;27/07/2012;-136.245;1.440.655;Pacific Ocean;Coral Sea;Great Barrier Reef;0.021554;pieces/m3;0.005-1;Medium;Manta net;Reisser et al.2013;Reisser, J., J. Shaw, C. Wilcox, B.D. Hardesty, M. Proietti, M. Thums, et al. 2013. Marine Plastic Pollution in Waters around Australia: Characteristics, Concentrations, and Pathways. PLoS ONE 8(11): e80466. ;https://doi.org/10.1371/journal.pone.0080466;University of Western Australia;RV Southern Surveyor/RV Solander;252260;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0252260
10271;28/07/2012;-120.293;1.432.705;Pacific Ocean;Coral Sea;Great Barrier Reef;0.105342;pieces/m3;0.005-1;Medium;Manta net;Reisser et al.2013;Reisser, J., J. Shaw, C. Wilcox, B.D. Hardesty, M. Proietti, M. Thums, et al. 2013. Marine Plastic Pollution in Waters around Australia: Characteristics, Concentrations, and Pathways. PLoS ONE 8(11): e80466. ;https://doi.org/10.1371/journal.pone.0080466;University of Western Australia;RV Southern Surveyor/RV Solander;252260;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0252260
