OBJECTID;Date;Latitude;Longitude;Oceans;Regions;Location;Microplastics Measurement (density);Unit;Density Class Range;Concentration Class;Sampling Method;Short Reference;Long Reference;DOI;Organization;Keywords;NCEI Accession Number;NCEI Accession Link
9376;14/02/2015;100.888;998.253;Pacific Ocean;Gulf of Thailand;South China Sea;0.004000;pieces/m3;0.0005-0.005;Low;Grab sample;Barrows et al.2018;Barrows, A.P.W., S.E. Cathey, C.W. Petersen. 2018. Marine environment microfiber contamination: global patterns and the diversity of microparticle origins. Environ. Pollut. 237, 275?284;https://doi.org/10.1016/j.envpol.2018.02.062;Adventure Scientist;Adventure Scientist/Citizen Science;211009;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211009
9395;04/03/2015;71.221;994.243;Pacific Ocean;Malacca Strait;South China Sea;0.000000;pieces/m3;0-0.0005;Very Low;Grab sample;Barrows et al.2018;Barrows, A.P.W., S.E. Cathey, C.W. Petersen. 2018. Marine environment microfiber contamination: global patterns and the diversity of microparticle origins. Environ. Pollut. 237, 275?284;https://doi.org/10.1016/j.envpol.2018.02.062;Adventure Scientist;Adventure Scientist/Citizen Science;211009;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211009
9757;14/03/2016;35.438;1.002.277;Pacific Ocean;Malacca Strait;South China Sea;0.077000;pieces/m3;0.005-1;Medium;Grab sample;Barrows et al.2018;Barrows, A.P.W., S.E. Cathey, C.W. Petersen. 2018. Marine environment microfiber contamination: global patterns and the diversity of microparticle origins. Environ. Pollut. 237, 275?284;https://doi.org/10.1016/j.envpol.2018.02.062;Adventure Scientist;Adventure Scientist/Citizen Science;211009;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211009
9784;28/12/2015;17.450;1.104.930;Pacific Ocean;South China Sea;South China Sea;0.000000;pieces/m3;0-0.0005;Very Low;Grab sample;Barrows et al.2018;Barrows, A.P.W., S.E. Cathey, C.W. Petersen. 2018. Marine environment microfiber contamination: global patterns and the diversity of microparticle origins. Environ. Pollut. 237, 275?284;https://doi.org/10.1016/j.envpol.2018.02.062;Adventure Scientist;Adventure Scientist/Citizen Science;211009;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211009
9785;29/12/2015;18.100;1.103.250;Pacific Ocean;South China Sea;South China Sea;0.000000;pieces/m3;0-0.0005;Very Low;Grab sample;Barrows et al.2018;Barrows, A.P.W., S.E. Cathey, C.W. Petersen. 2018. Marine environment microfiber contamination: global patterns and the diversity of microparticle origins. Environ. Pollut. 237, 275?284;https://doi.org/10.1016/j.envpol.2018.02.062;Adventure Scientist;Adventure Scientist/Citizen Science;211009;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211009
9786;08/01/2016;12.817;1.081.300;Pacific Ocean;South China Sea;South China Sea;0.003000;pieces/m3;0.0005-0.005;Low;Grab sample;Barrows et al.2018;Barrows, A.P.W., S.E. Cathey, C.W. Petersen. 2018. Marine environment microfiber contamination: global patterns and the diversity of microparticle origins. Environ. Pollut. 237, 275?284;https://doi.org/10.1016/j.envpol.2018.02.062;Adventure Scientist;Adventure Scientist/Citizen Science;211009;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211009
9787;10/01/2016;0.9283;1.074.730;Pacific Ocean;South China Sea;South China Sea;0.003000;pieces/m3;0.0005-0.005;Low;Grab sample;Barrows et al.2018;Barrows, A.P.W., S.E. Cathey, C.W. Petersen. 2018. Marine environment microfiber contamination: global patterns and the diversity of microparticle origins. Environ. Pollut. 237, 275?284;https://doi.org/10.1016/j.envpol.2018.02.062;Adventure Scientist;Adventure Scientist/Citizen Science;211009;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211009
9788;12/01/2016;0.0430;1.078.617;Pacific Ocean;South China Sea;South China Sea;0.008000;pieces/m3;0.005-1;Medium;Grab sample;Barrows et al.2018;Barrows, A.P.W., S.E. Cathey, C.W. Petersen. 2018. Marine environment microfiber contamination: global patterns and the diversity of microparticle origins. Environ. Pollut. 237, 275?284;https://doi.org/10.1016/j.envpol.2018.02.062;Adventure Scientist;Adventure Scientist/Citizen Science;211009;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211009
9796;28/03/2016;-0.0100;1.087.017;Pacific Ocean;South China Sea;South China Sea;0.000000;pieces/m3;0-0.0005;Very Low;Grab sample;Barrows et al.2018;Barrows, A.P.W., S.E. Cathey, C.W. Petersen. 2018. Marine environment microfiber contamination: global patterns and the diversity of microparticle origins. Environ. Pollut. 237, 275?284;https://doi.org/10.1016/j.envpol.2018.02.062;Adventure Scientist;Adventure Scientist/Citizen Science;211009;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211009
9797;06/04/2016;38.100;1.129.183;Pacific Ocean;South China Sea;South China Sea;0.000000;pieces/m3;0-0.0005;Very Low;Grab sample;Barrows et al.2018;Barrows, A.P.W., S.E. Cathey, C.W. Petersen. 2018. Marine environment microfiber contamination: global patterns and the diversity of microparticle origins. Environ. Pollut. 237, 275?284;https://doi.org/10.1016/j.envpol.2018.02.062;Adventure Scientist;Adventure Scientist/Citizen Science;211009;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211009
