OBJECTID;Date;Latitude;Longitude;Oceans;Regions;Location;Microplastics Measurement (density);Unit;Density Range;Concentration Class;Sampling Method;Short Reference;Long Reference;DOI;Organization;;NCEI Accession Number;NCEI Accession Link;;;Density Center
6191;04/12/2001;0.0700;-897.900;Pacific Ocean;Gal�pagos;Gal�pagos;0.0;pieces/m3;0-0.0005;Very Low;Neuston net;Law et al.2014;Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.;https://doi.org/10.1021/es4053076;Sea Education Association;;211008;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008;;;0.00025
6192;05/12/2001;-0.5100;-900.800;Pacific Ocean;Gal�pagos;Gal�pagos;0.0;pieces/m3;0-0.0005;Very Low;Neuston net;Law et al.2014;Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.;https://doi.org/10.1021/es4053076;Sea Education Association;;211008;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008;;;0.00025
6193;08/12/2001;-0.8700;-902.600;Pacific Ocean;Gal�pagos;Gal�pagos;0.0;pieces/m3;0-0.0005;Very Low;Neuston net;Law et al.2014;Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.;https://doi.org/10.1021/es4053076;Sea Education Association;;211008;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008;;;0.00025
6194;09/12/2001;-1,21;-904.300;Pacific Ocean;Gal�pagos;Gal�pagos;0.0;pieces/m3;0-0.0005;Very Low;Neuston net;Law et al.2014;Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.;https://doi.org/10.1021/es4053076;Sea Education Association;;211008;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008;;;0.00025
6195;09/12/2001;-1,07;-908.400;Pacific Ocean;Gal�pagos;Gal�pagos;0.0;pieces/m3;0-0.0005;Very Low;Neuston net;Law et al.2014;Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.;https://doi.org/10.1021/es4053076;Sea Education Association;;211008;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008;;;0.00025
6196;10/12/2001;-1,13;-919.600;Pacific Ocean;Gal�pagos;Gal�pagos;0.0;pieces/m3;0-0.0005;Very Low;Neuston net;Law et al.2014;Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.;https://doi.org/10.1021/es4053076;Sea Education Association;;211008;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008;;;0.00025
8982;24/11/2014;-0.7485;-903.131;Pacific Ocean;Gal�pagos;Gal�pagos;0.001;pieces/m3;0.0005-0.005;Low;Grab sample;Barrows et al.2018;Barrows, A.P.W., S.E. Cathey, C.W. Petersen. 2018. Marine environment microfiber contamination: global patterns and the diversity of microparticle origins. Environ. Pollut. 237, 275?284;https://doi.org/10.1016/j.envpol.2018.02.062;Adventure Scientist;;211009;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211009;;;0.00275
9371;06/02/2015;0.2891;-905.589;Pacific Ocean;Gal�pagos;Gal�pagos;0.003;pieces/m3;0.0005-0.005;Low;Grab sample;Barrows et al.2018;Barrows, A.P.W., S.E. Cathey, C.W. Petersen. 2018. Marine environment microfiber contamination: global patterns and the diversity of microparticle origins. Environ. Pollut. 237, 275?284;https://doi.org/10.1016/j.envpol.2018.02.062;Adventure Scientist;;211009;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211009;;;0.00275
9373;07/02/2015;0.3140;-899.471;Pacific Ocean;Gal�pagos;Gal�pagos;0.002;pieces/m3;0.0005-0.005;Low;Grab sample;Barrows et al.2018;Barrows, A.P.W., S.E. Cathey, C.W. Petersen. 2018. Marine environment microfiber contamination: global patterns and the diversity of microparticle origins. Environ. Pollut. 237, 275?284;https://doi.org/10.1016/j.envpol.2018.02.062;Adventure Scientist;;211009;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211009;;;0.00275
9806;25/04/2016;-0.5700;-905.700;Pacific Ocean;Gal�pagos;Gal�pagos;0.003;pieces/m3;0.0005-0.005;Low;Grab sample;Barrows et al.2018;Barrows, A.P.W., S.E. Cathey, C.W. Petersen. 2018. Marine environment microfiber contamination: global patterns and the diversity of microparticle origins. Environ. Pollut. 237, 275?284;https://doi.org/10.1016/j.envpol.2018.02.062;Adventure Scientist;;211009;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211009;;;0.00275
